Employee ID,Departments ,Promoted,Review,Projects,Salary,Tenure,Satisfaction,avg_hrs_month,left
30018087,sales,0,0.53,2,low,3,0.38,157,1
30018088,sales,0,0.86,5,medium,6,0.8,262,1
30018089,sales,0,0.88,7,medium,4,0.11,272,1
30018090,sales,0,0.87,5,low,5,0.72,223,1
30018091,sales,0,0.52,2,low,3,0.37,159,1
30018092,sales,0,0.5,2,low,3,0.41,153,1
30018093,sales,0,0.77,6,low,4,0.1,247,1
30018094,sales,0,0.85,5,low,5,0.92,259,1
30018095,sales,0,1,5,low,5,0.89,224,1
30018096,sales,0,0.53,2,low,3,0.42,142,1
30018097,sales,0,0.54,2,low,3,0.45,135,1
30018098,sales,0,0.81,6,low,4,0.11,305,1
30018099,sales,0,0.92,4,low,5,0.84,234,1
30018100,sales,0,0.55,2,low,3,0.41,148,1
30018101,sales,0,0.56,2,low,3,0.36,137,1
30018102,sales,0,0.54,2,low,3,0.38,143,1
30018103,sales,0,0.47,2,low,3,0.45,160,1
30018104,sales,0,0.99,4,low,6,0.78,255,1
30018105,sales,1,0.51,2,low,3,0.45,160,1
30018106,sales,0,0.89,5,low,5,0.76,262,1
30018107,sales,0,0.83,6,low,4,0.11,282,1
30018108,sales,0,0.55,2,low,3,0.38,147,1
30018109,sales,0,0.95,6,low,4,0.09,304,1
30018110,sales,0,0.57,2,low,3,0.46,139,1
30018111,sales,0,0.53,2,low,3,0.4,158,1
30018112,sales,0,0.92,5,low,5,0.89,242,1
30018113,sales,0,0.87,4,low,5,0.82,239,1
30018114,sales,0,0.49,2,low,3,0.4,135,1
30018115,accounting,0,0.46,2,low,3,0.41,128,1
30018116,accounting,0,0.5,2,low,3,0.38,132,1
30018117,accounting,0,0.62,6,low,4,0.09,294,1
30018118,hr,0,0.57,2,low,3,0.45,134,1
30018119,hr,0,0.51,2,low,3,0.4,145,1
30018120,hr,0,0.55,2,low,3,0.45,140,1
30018121,hr,0,0.87,4,low,6,0.84,246,1
30018122,technical,0,0.94,6,low,4,0.1,255,1
30018123,technical,0,0.46,2,low,3,0.38,137,1
30018124,technical,0,0.5,2,low,3,0.45,126,1
30018125,technical,0,0.89,6,low,4,0.11,306,1
30018126,technical,0,0.54,2,low,3,0.41,152,1
30018127,technical,0,0.88,5,low,5,0.87,269,1
30018128,technical,0,0.48,2,low,3,0.45,158,1
30018129,technical,0,0.46,2,low,3,0.4,127,1
30018130,technical,0,0.8,7,low,4,0.1,281,1
30018131,technical,0,0.89,6,low,4,0.09,276,1
